,undlName,text
37,BHP.AX,australia stock exchange release from bhp group bhp.ax: quarterly activities report
5,BHP.AX,2-bhp holds iron ore output outlook despite virus risks
9,BHP.AX,bhp third-quarter iron ore output up 6.3
17,BHP.AX,"bhp group  - as at 31 dec, net debt us12.8 bln, at lower end of target range, and cash and cash equivalents were us14.3 bln"
12,BHP.AX,bhp group - potential impacts from covid-19 in june qtr represent possible downside risk to full year petroleum production guidance
13,BHP.AX,"bhp group - petroleum production guidance for 2020 fy remains unchanged, with volumes expected to be at bottom of guidance range"
14,BHP.AX,"bhp group  -  on spence growth option, first production is still expected to be in 2021 financial year"
16,BHP.AX,"bhp- with our strong financial position and low-cost operations, our business is resilient"
18,BHP.AX,"bhp- while demand in china strengthened in recent weeks, expect major economies, including us, europe  india, to contract sharply in june 2020 qtr"
28,BHP.AX,bhp - fy antamina guidance under review following temporary suspension of operations due to covid-19
21,BHP.AX,"bhp -  small number of colleagues from 72,000 strong global workforce who have tested positive for virus have recovered or are recovering well"
22,BHP.AX,bhp group  - expect that steel production ex- china could contract by a double-digit percentage in 2020 calendar year
2,BHP.AX,bhp sees delay in expansion of spence mine in chile due to pandemic
23,BHP.AX,bhp - full year unit cost guidance remains unchanged
25,BHP.AX,bhp group- reviewing capital  exploration expenditure guidance for 2021 financial year and it will be lower than current guidance of around us8 bln
26,BHP.AX,"bhp group  -  in china, copper demand could be marginally weaker than steel in 2020 calendar year"
27,BHP.AX,"bhp group  - at this time, among our global workforce of 72,000 people, bhp has had a small number of confirmed cases of covid-19"
19,BHP.AX,"bhp group  - if china can avoid a second wave of covid-19, steel production may rise slightly in 2020 calendar year"
29,BHP.AX,bhp group  - fy copper guidance for operated assets is broadly unchanged
30,BHP.AX,bhp group  - qtrly petroleum production 25 mmboe vs 29 mmboe as reported last year
31,BHP.AX,bhp - fy energy coal production guidance is under review with cerrejn placed on temporary care and maintenance due to covid-19
32,BHP.AX,bhp group  - qtrly iron ore production 100 basis 68 mt vs 64 mt as reported last yr
33,BHP.AX,bhp group  -  qtrly copper production  425 kt vs 420 kt as reported last yr
34,BHP.AX,"bhp group  - production guidance for 2020 financial year remains unchanged for petroleum, iron ore and metallurgical coal"
36,BHP.AX,australia stock exchange release from bhp group bhp.ax: prenr ends: 08:34:54
24,BHP.AX,bhp - fy copper equivalent production volumes now expected to be in line with last year
1,BHP.AX,bhp sells june-loading australian pyrenees crude at lower premium - sources
6,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: emtn 6121 - semi-annual interest payment
3,CBA.AX,australia stock exchange release from commonwealth ban cba.ax: becoming a substantial holder for sxl
3,RIO.AX,australia stock exchange release from rio tinto rio.ax: rio tinto climate and water seminar
3,MQG.AX,australia stock exchange release from macquarie group mqg.ax: ceasing to be a substantial holder for web
3,QBE.AX,australia stock exchange release from qbe insur. qbe.ax: qbe lodges share purchase plan documents
2,QBE.AX,australia stock exchange release from qbe insur. qbe.ax: prenr ends: 08:32:30
5,QAN.AX,qantas gains as rival virgin australia enters voluntary administration
22,IPL.AX,australia stock exchange release from incitec pv ipl.ax: on strategic review of incitec pivot fertilisers
21,IPL.AX,australia stock exchange release from incitec pv ipl.ax: prenr ends: 08:29:34
19,IPL.AX,incitec pivot  -  concluded a strategic review of its fertilisers business and has decided to retain business
18,IPL.AX,incitec pivot  -  careful assessment of a potential demerger was also undertaken
17,IPL.AX,incitec pivot - ceased discussion with potential buyers under sale option
16,IPL.AX,incitec pivot  - covid-19 has not had a significant impact on ipl's business operations to date
15,IPL.AX,incitec pivot - recent widespread rainfall across eastern australia has created significant demand by farmers for fertiliser
14,IPL.AX,incitec pivot  -  given extraordinary market uncertainty by covid-19 pandemic right outcome is to retain incitec pivot fertilisers
12,IPL.AX,australia's incitec pivot to retain fertiliser business
7,IPL.AX,1-australia's incitec pivot to retain fertiliser business
3,IPL.AX,australia's incitec pivot rises on decision to retain fertiliser business
2,IPL.AX,australia stock exchange release from incitec pv ipl.ax: change in substantial 
4,WPL.AX,australia stock exchange release from woodside petrole wpl.ax: on woodside 2020 agm arrangements
0,RHC.AX,ramsay health care erases losses as australia plans to relax curbs on elective surgeries
